service_id,date,exception_type
2,20191231,1
20,20200103,1
20,20200110,1
20,20200117,1
20,20200124,1
20,20200131,1
20,20200207,1
20,20200214,1
20,20200221,1
20,20200228,1
20,20200306,1
20,20200313,1
20,20200320,1
20,20200327,1
20,20200403,1
20,20200410,1
20,20200417,1
20,20200424,1
20,20200501,1
20,20200508,1
20,20200515,1
20,20200522,1
20,20200529,1
20,20200605,1
20,20200612,1
20,20200619,1
20,20200626,1
22,20200104,1
22,20200111,1
22,20200118,1
22,20200125,1
22,20200201,1
22,20200208,1
22,20200215,1
22,20200222,1
22,20200229,1
22,20200307,1
22,20200314,1
22,20200321,1
22,20200328,1
22,20200404,1
22,20200411,1
22,20200418,1
22,20200425,1
22,20200502,1
22,20200509,1
22,20200516,1
22,20200523,1
22,20200530,1
22,20200606,1
22,20200613,1
22,20200620,1
22,20200627,1
29,20200104,1
44,20200111,1
44,20200118,1
44,20200125,1
44,20200201,1
45,20200112,1
45,20200119,1
45,20200126,1
45,20200202,1
49,20200120,1
49,20200217,1
55,20200111,1
55,20200118,1
55,20200125,1
55,20200201,1
55,20200208,1
55,20200215,1
55,20200222,1
55,20200229,1
55,20200307,1
55,20200314,1
55,20200321,1
55,20200328,1
55,20200404,1
55,20200411,1
55,20200418,1
55,20200425,1
55,20200502,1
55,20200509,1
55,20200516,1
55,20200523,1
55,20200530,1
55,20200606,1
55,20200613,1
55,20200620,1
55,20200627,1
57,20200101,1
57,20200105,1
57,20200112,1
57,20200119,1
57,20200126,1
57,20200202,1
57,20200209,1
57,20200216,1
57,20200223,1
57,20200301,1
57,20200308,1
57,20200315,1
57,20200322,1
57,20200329,1
57,20200405,1
57,20200412,1
57,20200419,1
57,20200426,1
57,20200503,1
57,20200510,1
57,20200517,1
57,20200524,1
57,20200531,1
57,20200607,1
57,20200614,1
57,20200621,1
58,20200102,1
58,20200106,1
58,20200107,1
58,20200108,1
58,20200109,1
58,20200113,1
58,20200114,1
58,20200115,1
58,20200116,1
58,20200121,1
58,20200122,1
58,20200123,1
58,20200127,1
58,20200128,1
58,20200129,1
58,20200130,1
58,20200203,1
58,20200204,1
58,20200205,1
58,20200206,1
58,20200210,1
58,20200211,1
58,20200212,1
58,20200213,1
58,20200218,1
58,20200219,1
58,20200220,1
58,20200224,1
58,20200225,1
58,20200226,1
58,20200227,1
58,20200302,1
58,20200303,1
58,20200304,1
58,20200305,1
58,20200309,1
58,20200310,1
58,20200311,1
58,20200312,1
58,20200316,1
58,20200317,1
58,20200318,1
58,20200319,1
58,20200323,1
58,20200324,1
58,20200325,1
58,20200326,1
58,20200330,1
58,20200331,1
58,20200401,1
58,20200402,1
58,20200406,1
58,20200407,1
58,20200408,1
58,20200409,1
58,20200413,1
58,20200414,1
58,20200415,1
58,20200416,1
58,20200420,1
58,20200421,1
58,20200422,1
58,20200423,1
58,20200427,1
58,20200428,1
58,20200429,1
58,20200430,1
58,20200504,1
58,20200505,1
58,20200506,1
58,20200507,1
58,20200511,1
58,20200512,1
58,20200513,1
58,20200514,1
58,20200518,1
58,20200519,1
58,20200520,1
58,20200521,1
59,20200105,1
60,20200101,1
60,20200112,1
60,20200119,1
60,20200126,1
60,20200202,1
60,20200209,1
60,20200216,1
60,20200223,1
60,20200301,1
60,20200308,1
60,20200315,1
60,20200322,1
60,20200329,1
60,20200405,1
60,20200412,1
60,20200419,1
60,20200426,1
60,20200503,1
60,20200510,1
60,20200517,1
60,20200524,1
60,20200531,1
60,20200607,1
60,20200614,1
60,20200621,1
61,20200102,1
61,20200106,1
61,20200107,1
61,20200108,1
61,20200109,1
61,20200113,1
61,20200114,1
61,20200115,1
61,20200116,1
61,20200121,1
61,20200122,1
61,20200123,1
61,20200127,1
61,20200128,1
61,20200129,1
61,20200130,1
61,20200203,1
61,20200204,1
61,20200205,1
61,20200206,1
61,20200210,1
61,20200211,1
61,20200212,1
61,20200213,1
61,20200218,1
61,20200219,1
61,20200220,1
61,20200224,1
61,20200225,1
61,20200226,1
61,20200227,1
61,20200302,1
61,20200303,1
61,20200304,1
61,20200305,1
61,20200309,1
61,20200310,1
61,20200311,1
61,20200312,1
61,20200316,1
61,20200317,1
61,20200318,1
61,20200319,1
61,20200323,1
61,20200324,1
61,20200325,1
61,20200326,1
61,20200330,1
61,20200331,1
61,20200401,1
61,20200402,1
61,20200406,1
61,20200407,1
61,20200408,1
61,20200409,1
61,20200413,1
61,20200414,1
61,20200415,1
61,20200416,1
61,20200420,1
61,20200421,1
61,20200422,1
61,20200423,1
61,20200427,1
61,20200428,1
61,20200429,1
61,20200430,1
61,20200504,1
61,20200505,1
61,20200506,1
61,20200507,1
61,20200511,1
61,20200512,1
61,20200513,1
61,20200514,1
61,20200518,1
61,20200519,1
61,20200520,1
61,20200521,1
61,20200525,1
61,20200526,1
61,20200527,1
61,20200528,1
61,20200601,1
61,20200602,1
61,20200603,1
61,20200604,1
61,20200608,1
61,20200609,1
61,20200610,1
61,20200611,1
61,20200615,1
61,20200616,1
61,20200617,1
61,20200618,1
61,20200622,1
61,20200623,1
61,20200624,1
61,20200625,1
99,20990101,1
